address,min_ms,max_ms,avg_ms,distance_km
102.214.66.19,200.19553,217.576866,210.24553,8733.24311180056
102.214.66.39,182.91907,200.803315,193.542137,8733.24311180056
103.146.200.98,226.565569,271.159317,229.623551,13691.13585005371
105.235.237.2,245.930999,324.77722,257.528296,10217.72430029645
107.1.167.50,57.514985,58.198596,57.713548,788.520032702161
109.61.86.65,26.882396,27.385316,27.041818,1337.6440562976954
109.61.94.65,127.6354,128.822849,127.835767,6435.929477590875
121.127.43.65,46.710754,47.265921,46.860378,1996.5056720035595
121.127.45.65,108.746935,109.916958,108.898186,6925.948572024295
138.199.14.66,151.225426,152.029992,151.416279,7227.691861722421
138.199.4.1,130.327791,132.271251,130.508887,8246.348311822989
138.199.57.129,17.104427,20.089989,17.294373,717.9170319362108
143.244.63.144,188.116597,189.387186,188.236657,14905.312819689998
148.230.45.213,99.081384,187.835934,126.946799,6752.682815763413
148.230.59.38,84.506106,85.944392,85.05858,3025.6184805982507
148.230.60.200,130.391078,133.789768,131.411718,8246.348311822989
152.204.128.194,78.405983,81.6251,78.651942,4183.802129604066
156.146.40.65,122.301321,122.779326,122.484465,7659.857619767812
156.146.53.53,52.88433,53.545372,53.104155,3026.1715726872294
160.242.19.254,178.130111,179.63639,178.317695,11506.76365069291
169.150.202.193,194.923664,196.04499,195.120891,9970.871849979618
169.150.228.129,97.822787,98.968037,98.009511,4187.853352334659
169.150.238.161,302.113471,303.18176,302.272758,13910.693904668704
169.150.242.129,120.770609,138.945301,130.244248,7749.990830810014
169.150.252.2,141.589707,145.752909,142.580823,8804.4641942495
170.254.229.178,93.626424,94.768515,93.90134,4119.628420417535
173.243.131.29,31.965746,33.545401,32.238519,1063.6719602340686
178.215.228.109,101.321148,102.69669,101.524422,7029.788723478391
185.102.217.170,130.240977,163.030558,138.805403,8452.568639803418
185.102.218.1,101.054205,103.028482,101.861309,6678.136783295066
185.102.219.93,105.277247,106.607165,105.469511,7032.360531581853
185.152.65.113,110.447592,131.679256,121.091289,7373.948801996535
185.152.66.67,27.4465,32.310186,27.73634,778.4368971320803
185.152.67.2,55.739119,56.429521,55.981138,2845.7099909290328
185.180.12.40,119.421207,119.892674,119.556015,7612.506037481727
185.246.208.67,133.332308,134.034893,133.523505,7597.2090544316325
185.59.221.51,158.292216,159.483152,158.469274,6416.325568443955
185.59.223.8,22.49212,23.043579,22.729866,1090.1325468820191
185.76.9.135,107.225105,107.911994,107.398372,6979.322021198736
185.93.1.65,5.468772,6.235966,5.667511,169.8810800301762
185.93.2.193,95.432618,95.882617,95.618992,6708.770709401777
185.93.3.50,96.967097,99.144678,97.132705,6752.682815763413
195.181.162.195,33.674982,71.002813,45.070721,1747.2656932200518
207.211.214.65,103.833472,105.225087,104.016221,6726.516340929737
209.40.123.215,43.9694,49.22167,45.009394,1225.3722388060648
212.60.47.34,105.039549,125.927713,115.604374,7134.562824424087
212.60.92.134,152.193699,155.829206,152.439652,7393.5217624765655
213.158.175.240,146.321083,147.350223,146.568937,9917.262792555144
217.61.40.96,109.075232,113.77703,109.401959,7356.90263713974
23.249.54.234,40.721994,41.397348,40.965238,1747.2656932200518
23.249.55.42,200.938585,202.12454,201.312146,11748.064547122925
23.249.58.14,172.25058,176.037351,173.630483,12701.71523974277
23.249.60.154,140.946638,142.008391,141.185728,10300.99609725226
23.249.61.122,278.885943,281.690005,279.632663,13863.247383338241
37.19.203.1,133.842489,134.640273,134.011832,8422.156283663548
37.19.216.1,33.9618,34.600184,34.156959,1414.0188750569275
37.19.218.65,123.713185,145.404815,135.545828,8219.448382917648
