server_label,timestamp,elapsed_sec,interval_sec,goodput_bps,snd_cwnd_bytes,srtt_us,rttvar_us,retransmits,total_retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,bytes_sent_kernel,bytes_sent_app,snd_ssthresh,snd_mss,min_rtt_us
"185.59.223.8:5201 (New York, US)",1773181816.6252706,0.2023,0.2023,42305154.09432577,1083456,45302,487,0,0,0,382656496,93454704,1069814,2147797,3538944,2147483647,1368,23964
"185.59.223.8:5201 (New York, US)",1773181816.9120045,0.489,0.2867,64173970.127418876,1106712,105468,23871,0,2,1,158636816,93523016,3369422,5114581,5111808,809,1368,23964
"185.59.223.8:5201 (New York, US)",1773181817.120575,0.6976,0.2087,107484322.07290949,889200,73301,27953,0,7,1,116454512,155163664,6172990,6971389,8257536,404,1368,23964
"185.59.223.8:5201 (New York, US)",1773181817.33775,0.9146,0.217,106244504.8616036,277704,47508,446,0,9,1,72148936,90807408,9054854,9425581,11534336,203,1368,23926
"185.59.223.8:5201 (New York, US)",1773181817.537785,1.1147,0.2001,89825022.52320802,285912,24741,262,0,9,0,111190088,89789832,11301110,11589757,14155776,203,1368,23868
"185.59.223.8:5201 (New York, US)",1773181817.7408543,1.3177,0.203,87769127.45104608,296856,25010,193,0,9,0,113945984,85512480,13528214,13826437,16384000,203,1368,23868
"185.59.223.8:5201 (New York, US)",1773181817.9487607,1.5255,0.2079,90929798.88205273,307800,25911,238,0,9,0,114039040,90671080,15890750,16205389,18743296,203,1368,23868
"185.59.223.8:5201 (New York, US)",1773181818.1539872,1.731,0.2055,91711040.06513824,317376,26990,284,0,9,0,112886608,93130080,18246446,18567925,21102592,203,1368,23868
"185.59.223.8:5201 (New York, US)",1773181818.3589635,1.9357,0.2046,87068871.73112619,326952,27655,265,0,9,0,113494208,93040608,20473550,20812813,23330816,203,1368,23868
"185.59.223.8:5201 (New York, US)",1773181818.5638044,2.1409,0.2052,91925633.97412218,336528,28361,276,0,9,0,113910360,90461856,22831982,23178085,25690112,203,1368,23868
"185.59.223.8:5201 (New York, US)",1773181818.7672486,2.3443,0.2034,93068874.09902512,346104,29173,341,0,9,0,113892440,91274808,25198622,25554301,28049408,203,1368,23868
