server_label,timestamp,elapsed_sec,interval_sec,goodput_bps,snd_cwnd_bytes,srtt_us,rttvar_us,retransmits,total_retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,bytes_sent_kernel,bytes_sent_app,snd_ssthresh,snd_mss,min_rtt_us
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181486.655835,0.2106,0.2106,8264205.995455492,231192,43437,1204,0,0,0,85158488,21953856,217550,448741,786432,2147483647,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181486.8613353,0.4163,0.2057,80702266.93820086,766080,62347,334,0,0,0,117957464,93208136,2292806,3052045,4063232,501,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181487.112842,0.6678,0.2515,93112374.43392314,607392,74405,573,0,1,0,78367496,93127800,5220326,5823613,6422528,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181487.3149943,0.8698,0.202,92584631.88241664,626544,53179,167,0,1,0,113103888,92622192,7558238,8182045,9568256,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181487.5178995,1.0728,0.203,92988167.8585802,644328,54719,312,0,1,0,113042064,92587824,9918038,10560997,11927552,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181487.7210186,1.2759,0.203,93083261.59050435,662112,56157,244,0,1,0,113187080,93245624,12280574,12941317,14286848,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181487.923688,1.4783,0.2024,93172866.96172467,679896,57518,204,0,1,0,113477544,93086368,14637638,15309325,16646144,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181488.1262205,1.6811,0.2028,93121156.17246372,694944,58989,196,0,1,0,113095040,93405664,16998806,17686909,19005440,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181488.3292398,1.8841,0.203,93040694.60555227,709992,60029,316,0,1,0,113542888,93329616,19359974,20067229,21364736,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181488.5320036,2.0869,0.2028,93195916.65111396,723672,61481,238,0,1,0,112998344,93205264,21722510,22444813,23724032,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181488.7348263,2.2895,0.2026,93124779.99880041,737352,62455,300,0,1,0,113337280,92314744,24080942,24810085,26083328,444,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181488.937283,2.4922,0.2027,92979224.77981329,522576,44847,88,0,2,0,111862584,89229512,26436638,26957845,28442624,379,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181489.1439133,2.6985,0.2062,91746384.03117618,534888,45557,225,0,2,0,112712736,90417008,28801910,29332693,30801920,379,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181489.347372,2.9022,0.2037,92124668.00578564,544464,46276,237,0,2,0,112949568,92820576,31148030,31691125,33161216,379,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181489.551968,3.1069,0.2047,92320601.21386044,554040,46830,198,0,2,0,113590672,93149360,33510566,34059133,35520512,379,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181489.7576835,3.3126,0.2056,91810557.05854118,562248,47740,250,0,2,0,113060240,91302200,35870366,36425773,37879808,379,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181489.9639118,3.5187,0.2062,91508452.22149353,570456,48249,260,0,2,0,113500344,91630448,38228798,38801989,40239104,379,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181490.170236,3.7252,0.2064,86257807.15937176,404928,42252,656,0,4,0,91848880,76910144,40454534,40864933,42467328,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181490.3761363,3.9311,0.2059,76531596.38145775,414504,42236,185,0,4,0,94214376,77265136,42424454,42838957,44433408,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181490.5793397,4.1342,0.2031,77420750.1586633,422712,42183,243,0,4,0,96198728,77646288,44390270,44810245,46399488,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181490.7811658,4.3361,0.2019,78109513.21157166,430920,42371,264,0,4,0,97631552,79932456,46361558,46795213,48365568,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181490.9879525,4.5428,0.2067,80966005.85590293,437760,42149,224,0,4,0,99705408,80729336,48453230,48893725,50462720,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181491.197787,4.7526,0.2098,80133890.17654227,444600,42345,189,0,4,0,100793704,82781704,50554478,51004549,52559872,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181491.4013603,4.9562,0.2037,82374203.25516604,450072,42321,360,0,4,0,102091504,82081912,52651622,53104429,54657024,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181491.612223,5.167,0.2108,84305690.60761628,455544,42613,369,0,4,0,102624976,84407680,54873254,55330165,56885248,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181491.8135986,5.3684,0.2013,83285124.74646501,461016,42385,315,0,4,0,104417920,85456152,56969030,57427309,58982400,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181492.015762,5.5703,0.2019,83418016.44687618,465120,42829,199,0,4,0,104254728,86063280,59074382,59535397,61079552,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181492.2250347,5.78,0.2097,84809469.47510958,469224,45090,164,0,4,0,99900208,82247400,61297382,61765237,63307776,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181492.4316661,5.9864,0.2064,86250265.40437804,471960,44026,379,0,4,0,102912272,84952160,63523118,63993709,65536000,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181492.6399221,6.1949,0.2085,85575838.63381994,476064,43288,228,0,4,0,105575104,86970496,65752958,66234493,67764224,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181492.8465912,6.4011,0.2063,87380621.50646721,477432,44730,476,0,4,0,102466960,85585024,68006054,68483485,69992448,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181493.0509033,6.6058,0.2047,86516543.48581256,480168,43767,459,0,4,0,105319544,86947576,70219478,70705117,72220672,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181493.2623467,6.8173,0.2115,88960446.6316872,481536,42184,181,0,4,0,109583328,87006232,72571070,73052605,74579968,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181493.4688542,7.0238,0.2065,86323777.8696307,482904,43911,263,0,4,0,105573512,87452048,74799542,75287917,76808192,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181493.6717355,7.2264,0.2026,87946166.5070824,484272,44311,444,0,4,0,104917464,86165400,77026646,77509549,79036416,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181493.8753617,7.4303,0.2039,87443872.35055862,485640,42843,537,0,4,0,108818952,85313216,79255118,79736653,81264640,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181494.077987,7.6328,0.2025,88185917.98719415,485640,42353,223,0,4,0,110077592,90826880,81487694,81978805,83492864,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181494.2817917,7.8365,0.2037,87419381.7352455,487008,42534,309,0,4,0,109917928,90667280,83713430,84205909,85721088,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181494.4918404,8.0467,0.2103,89576667.10620126,487008,42286,263,0,4,0,110561920,90209160,86067758,86560237,88080384,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181494.6969566,8.2518,0.2051,87299759.19211583,487008,42422,206,0,4,0,110207800,90693304,88305806,88788709,90308608,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181494.8998625,8.4548,0.203,87615869.32678455,487008,42295,286,0,4,0,110538720,91236504,90528806,91013077,92536832,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181495.1036692,8.6586,0.2037,87445399.11684912,487008,42236,214,0,4,0,110694112,91509320,92755910,93238813,94765056,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181495.3042371,8.8591,0.2006,88883320.45492254,487008,42165,253,0,4,0,110879192,89950680,94984382,95476861,96993280,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181495.5139978,9.0689,0.2098,89950220.21395655,489744,42415,216,0,4,0,110844912,91390928,97342814,97827085,99352576,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181495.7183464,9.2731,0.2042,87341059.87356795,493848,42188,255,0,4,0,112375192,91219376,99572654,100065133,101580800,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181495.925863,9.4805,0.2074,90923200.06927349,496584,42423,262,0,4,0,112371824,92697480,101929718,102431773,103940096,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181496.1321964,9.6852,0.2047,78644171.9248228,499320,43891,223,0,4,0,109212160,79928208,103942046,104438629,105906176,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181496.3408523,9.8958,0.2105,87799841.5382369,503424,42617,304,0,4,0,113400744,92911984,106252598,106753285,108265472,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181496.5486603,10.1034,0.2077,90914099.75138566,506160,42898,213,0,4,0,113271192,93173728,108612398,109124029,110624768,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181496.7550988,10.31,0.2066,91537015.66583939,510264,43294,200,0,4,0,113145144,93110440,110976302,111486565,112984064,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181496.963853,10.5188,0.2088,90272278.9017781,513000,43609,217,0,4,0,112930816,93203152,113331998,113842261,115343360,293,1368,41465
"speedtest.xmission.com:5204 (Salt Lake, US)",1773181497.1640677,10.7189,0.2002,89336034.70839515,515736,43633,252,0,4,0,113470336,91143584,115567310,116076205,117571584,293,1368,41465
