server_label,timestamp,elapsed_sec,interval_sec,goodput_bps,snd_cwnd_bytes,srtt_us,rttvar_us,retransmits,total_retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,bytes_sent_kernel,bytes_sent_app,snd_ssthresh,snd_mss,min_rtt_us
"speedtest.init7.net:5201 (Winterthur, CH)",1773181655.53921,0.2287,0.2287,1339745.8485962376,51984,113167,333,0,0,0,7349696,1732400,38342,90325,131072,2147483647,1368,112504
"speedtest.init7.net:5201 (Winterthur, CH)",1773181655.771813,0.461,0.2323,5182380.03015695,202464,116664,705,0,0,0,27767032,6898672,188822,391285,524288,2147483647,1368,112504
"speedtest.init7.net:5201 (Winterthur, CH)",1773181655.9912524,0.6808,0.2198,9460095.064633943,462384,115407,1703,0,0,0,64104528,16042408,448742,908389,1441792,2147483647,1368,112504
"speedtest.init7.net:5201 (Winterthur, CH)",1773181656.2209415,0.9104,0.2296,47472317.41366541,1824912,115362,435,0,0,0,253103520,62924408,1811270,3614293,4587520,2147483647,1368,112503
"speedtest.init7.net:5201 (Winterthur, CH)",1773181656.5469863,1.2366,0.3262,38718718.66161814,1701792,232658,2752,0,3,3,114417352,93456064,3389942,6287645,6291456,1244,1368,112503
"speedtest.init7.net:5201 (Winterthur, CH)",1773181656.7556772,1.445,0.2084,133312026.36826578,1701792,131553,1698,0,4,0,124187232,93582632,6862534,8561589,9568256,1244,1368,112503
"speedtest.init7.net:5201 (Winterthur, CH)",1773181656.9588482,1.6483,0.2033,92928221.74616723,1703160,146062,190,0,4,0,111940872,73730888,9223702,10925493,11927552,1244,1368,112503
"speedtest.init7.net:5201 (Winterthur, CH)",1773181657.1920831,1.8817,0.2334,49226505.73856351,852264,146107,484,0,9,4,139321096,92293472,10660102,12794181,13107200,623,1368,112503
"speedtest.init7.net:5201 (Winterthur, CH)",1773181657.395834,2.0852,0.2035,111534672.78117898,852264,112831,271,0,9,0,72512776,60485544,13497334,14361909,16252928,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181657.6002128,2.2898,0.2046,62058182.69444985,855000,113495,770,0,9,0,72320360,60502656,15084214,15951525,17825792,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181657.8199103,2.5095,0.2198,60904554.47845324,857736,112816,200,0,9,0,72988448,60642848,16757278,17624589,19529728,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181658.022906,2.7125,0.203,62442071.60629732,860472,112823,145,0,9,0,73216400,60710160,18341422,19214205,21102592,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181658.2249477,2.9143,0.2017,57391774.5223346,863208,113498,436,0,9,0,73012384,60852048,19788766,20662917,22544384,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181658.4371097,3.1267,0.2125,58979339.552735984,865944,113131,192,0,9,0,73481248,61019920,21355126,22230645,24117248,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181658.6398265,3.3292,0.2025,62960354.09645396,867312,113607,366,0,9,0,73288968,61446056,22948846,23828469,25690112,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181658.8568172,3.5465,0.2172,61512398.547267035,870048,112690,178,0,9,0,74118912,61787072,24619174,25501533,27394048,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181659.0771751,3.7667,0.2203,62254819.55724649,872784,112725,162,0,9,0,74328824,61718832,26333278,27212901,29097984,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181659.290674,3.9802,0.2135,63518451.29764709,875520,112759,151,0,9,0,74539264,61904944,28028230,28913325,30801920,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181659.499819,4.1894,0.2092,60365528.61071573,878256,112796,142,0,9,0,74747256,60483960,29606902,30497469,32374784,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181659.7077723,4.3971,0.2077,60865455.98199292,880992,112736,211,0,9,0,75020352,62121608,31186942,32080245,33947648,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181659.9147916,4.6042,0.2071,60864071.35194747,883728,112821,140,0,9,0,75196720,61265672,32762878,33656181,35520512,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181660.1159549,4.8052,0.201,62520002.6047989,885096,112889,129,0,9,0,75267848,62593064,34333342,35230749,37093376,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181660.3261821,5.0158,0.2106,64901237.116748095,887832,112985,275,0,9,0,75436360,62642648,36041974,36935277,38797312,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181660.5396376,5.2291,0.2133,63427667.603563525,890568,112746,134,0,9,0,75828896,62052320,37732822,38630229,40501248,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181660.7439575,5.4336,0.2045,61593019.18943955,893304,112807,152,0,9,0,76021152,63302200,39307390,40213005,42074112,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181660.9491003,5.6386,0.205,61593085.701368384,896040,112786,179,0,9,0,76267592,62753168,40886062,41788941,43646976,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181661.155039,5.8445,0.2059,61495595.92021478,898776,112736,134,0,9,0,76534912,62639248,42468838,43375821,45219840,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181661.3630748,6.0527,0.2081,65464006.35638437,900144,112754,171,0,9,0,76639080,63680312,44171998,45084453,46923776,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181661.5719407,6.2615,0.2089,64755375.51799995,902880,112738,168,0,9,0,76882680,63801272,45862846,46775301,48627712,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181661.7843463,6.4738,0.2123,64501994.557207026,905616,112822,167,0,9,0,77058240,63578392,47574214,48492141,50331648,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181661.9881065,6.6776,0.2038,61758747.26784991,908352,112748,142,0,9,0,77341688,62721496,49147414,50062605,51904512,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181662.192232,6.8819,0.2043,61860117.19947402,911088,112708,161,0,9,0,77602432,64616528,50726870,51650269,53477376,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181662.401949,7.0915,0.2097,64927436.43855316,913824,112700,188,0,9,0,77841176,64125560,52428662,53353429,55181312,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181662.603587,7.2931,0.2015,66904081.486914374,915192,112744,187,0,9,0,77927192,64889592,54114038,55041541,56885248,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181662.805806,7.4955,0.2024,62612543.932041235,917928,112820,170,0,9,0,78107504,64758536,55698182,56625685,58458112,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181663.013157,7.7028,0.2074,65815556.495641224,920664,112803,157,0,9,0,78352296,64852176,57404078,58337053,60162048,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181663.2266603,7.9162,0.2134,63546418.24036478,923400,112819,243,0,9,0,78573992,64906432,59099030,60032005,61865984,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181663.4362597,8.1259,0.2097,65299852.94285262,926136,112954,207,0,9,0,78712360,65305592,60810398,61742005,63569920,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181663.6430824,8.3327,0.2068,65673803.23079294,927504,112890,185,0,9,0,78873488,65448864,62508086,63446533,65273856,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181663.8517659,8.5411,0.2085,65358280.108951665,930240,112900,190,0,9,0,79099144,65265624,64211246,65148325,66977792,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181664.0571945,8.7468,0.2056,65994996.94917048,932976,113018,217,0,9,0,79248960,65786296,65907566,66848749,68681728,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181664.2679062,8.9575,0.2107,65225237.822564855,935712,112904,206,0,9,0,79561352,66052384,67625774,68573797,70385664,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181664.4776616,9.1671,0.2096,64863627.64403892,938448,112871,179,0,9,0,79817144,66239816,69324830,70272853,72089600,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181664.6800497,9.3696,0.2025,67718963.34308155,941184,112923,282,0,9,0,80013072,66225752,71038934,71984221,73793536,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181664.8860514,9.5756,0.206,65504466.18360345,942552,113007,220,0,9,0,80069984,66064640,72725678,73680541,75497472,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181665.0929155,9.7822,0.2066,65940816.05008198,945288,113092,811,0,9,0,80242232,67140504,74428838,75386437,77201408,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181665.2982936,9.9878,0.2056,66437537.0348616,948024,113282,240,0,9,0,80339416,66670928,76136102,77089597,78905344,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181665.503979,10.1932,0.2055,67218571.35664576,950760,113792,556,0,9,0,80209992,67296968,77862518,78825589,80609280,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181665.7196414,10.409,0.2158,67203027.85125992,953496,113052,214,0,9,0,80967616,67338448,79675118,80632717,82444288,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181665.9219701,10.6116,0.2026,67642216.05841124,954864,113580,530,0,9,0,80706672,67089952,81387854,82350925,84148224,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181666.1289399,10.8182,0.2066,66105397.81821597,957600,113317,268,0,9,0,81125680,67644216,83095118,84062293,85852160,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181666.3451784,11.0347,0.2165,67570778.74401893,960336,112909,219,0,9,0,81651640,67472968,84924134,85896781,87687168,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181666.546347,11.2359,0.2012,67719628.17090587,963072,113012,305,0,9,0,81809184,67788688,86627294,87595837,89391104,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181666.758341,11.4479,0.212,68863830.67961784,965808,112906,204,0,9,0,82119256,68073328,88452206,89423485,91226112,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181666.963059,11.6527,0.2047,66826604.68157039,968544,113346,234,0,9,0,82032112,68085680,90162206,91137589,92930048,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181667.1698673,11.8594,0.2068,66098218.83318392,969912,113039,196,0,9,0,82371168,68431544,91870838,92851693,94633984,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181667.3835754,12.0729,0.2135,68704382.20370665,972648,112712,192,0,9,0,82843176,69059592,93703958,94688917,96468992,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181667.5911608,12.2807,0.2078,70952556.40568788,975384,112917,208,0,9,0,82925112,68825320,95546654,96526141,98304000,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181667.7919214,12.4815,0.2008,67900221.8746513,978120,113534,445,0,9,0,82705528,68521064,97251182,98234773,100007936,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181668.00103,12.6898,0.2083,67264226.45746918,980856,113429,332,0,9,0,83013832,69205256,99002222,99987181,101711872,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181668.2009428,12.8905,0.2007,65917656.0474438,982224,112884,190,0,9,0,83530864,69217960,100656134,101649301,103415808,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181668.4281266,13.1177,0.2272,69445104.272378,984960,112843,196,0,9,0,83793880,69310416,102628790,103620589,105381888,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181668.6516597,13.3411,0.2233,69485712.41892602,987696,112792,245,0,9,0,84064912,69786528,104568614,105561781,107347968,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181668.8526957,13.5422,0.2011,73471214.89016098,990432,112910,204,0,9,0,84209592,68479432,106415414,107414053,109182976,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181669.0529296,13.7425,0.2003,67856858.29907303,993168,113117,191,0,9,0,84287408,69994792,108114470,109118581,110886912,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181669.2568328,13.9465,0.204,67594621.81620583,995904,112904,119,0,9,0,84679240,70079280,109838150,110843629,112590848,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181669.4698682,14.1591,0.2126,69071094.91256624,998640,112860,211,0,9,0,84944984,70241168,111674006,112676749,114425856,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181669.690995,14.3806,0.2215,70841246.66541623,1000008,112939,338,0,9,0,85001840,70852536,113635718,114648037,116391936,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181669.8912525,14.5809,0.2003,72900467.53275546,1002744,112883,164,0,9,0,85276504,69603904,115460630,116475685,118226944,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181670.1043365,14.794,0.2131,69085965.53101414,1005480,113088,241,0,9,0,85354176,69351928,117300590,118311541,120061952,623,1368,112000
"speedtest.init7.net:5201 (Winterthur, CH)",1773181670.3156652,15.0051,0.2111,69876520.8871658,1008216,112962,171,0,9,0,85682088,70303856,119144654,120158341,121896960,623,1368,112000
"209.40.123.215:30000 (Plano, US)",1773181670.9858143,0.2026,0.2026,21392145.240867794,545832,38525,260,0,0,0,226691328,53381232,541878,1087709,1835008,2147483647,1368,30004
"209.40.123.215:30000 (Plano, US)",1773181671.315247,0.5322,0.3296,44929544.435413085,1198368,179259,4797,0,3,3,145644040,93391232,2392782,5198029,5242880,876,1368,30004
"209.40.123.215:30000 (Plano, US)",1773181671.518344,0.7354,0.2032,163443694.37858862,538992,52394,576,0,5,1,115801064,65452216,6544214,7189909,9306112,219,1368,30004
"209.40.123.215:30000 (Plano, US)",1773181671.7193804,0.9363,0.2009,85040346.81297556,306432,30664,229,0,5,0,95934880,78065456,8679662,8990197,11534336,219,1368,29985
"209.40.123.215:30000 (Plano, US)",1773181671.9215505,1.1385,0.2022,77668175.90527268,314640,30522,212,0,5,0,98962840,81390488,10642742,10958749,13500416,219,1368,29985
"209.40.123.215:30000 (Plano, US)",1773181672.135035,1.352,0.2135,78746006.36508948,324216,30853,366,0,5,0,100878288,82456464,12743990,13072309,15597568,219,1368,29985
"209.40.123.215:30000 (Plano, US)",1773181672.3392057,1.5563,0.2043,82070900.6834847,332424,30688,304,0,5,0,103988280,85006032,14839766,15172189,17694720,219,1368,29985
"209.40.123.215:30000 (Plano, US)",1773181672.5485628,1.7654,0.2092,85170755.01538444,342000,30913,313,0,5,0,106206880,85751912,17066870,17415709,19922944,219,1368,29985
