server_label,timestamp,elapsed_sec,interval_sec,goodput_bps,snd_cwnd_bytes,srtt_us,rttvar_us,retransmits,total_retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,bytes_sent_kernel,bytes_sent_app,snd_ssthresh,snd_mss,min_rtt_us
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989045.035709,0.4052,0.4052,1918105.7812960213,108301,132000,2000,,0,0,,,97160,205461,262144,1073725440,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989045.2991529,0.6687,0.2634,5184267.377115319,279025,136000,2000,,0,0,,,267884,546909,786432,1073725440,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989045.889733,1.2592,0.5906,20400701.547395702,297860,143000,7000,,252616,182,,,1773864,2324377,2097152,516336,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989046.408941,1.7784,0.5192,19175583.58601844,326784,132000,1000,,395580,285,,,3018340,3740741,3407872,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989046.7001479,2.0697,0.2912,21786529.654719118,375364,131000,1000,,395580,285,,,3811492,4581869,4587520,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989046.963812,2.3334,0.2637,23328741.01563301,386468,130000,2000,,395580,285,,,4580444,5361925,5373952,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989047.2263181,2.5958,0.2625,23904006.976683702,394796,131000,1000,,395580,285,,,5364664,6154473,6160384,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989047.476455,2.8459,0.2501,23312762.13328804,401736,132000,2000,,395580,285,,,6093364,6890113,6946816,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989047.7358458,3.1054,0.2595,24607415.609857902,408676,133000,4000,,395580,285,,,6891464,7695153,7733248,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989047.987989,3.3575,0.2522,24704427.972803317,415616,130000,0,,395580,285,,,7670132,8480761,8519680,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989048.272755,3.6422,0.2847,25547204.953668196,421168,130000,1000,,395580,285,,,8579272,9395453,9437184,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989048.5134,3.8829,0.2407,25740080.29345319,425332,130000,1000,,395580,285,,,9353776,10174121,10223616,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989048.792119,4.1616,0.2787,25818290.823352862,429496,131000,1000,,395580,285,,,10253200,11077709,11141120,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989049.0241358,4.3936,0.232,26895763.272750057,432272,136000,7000,,395580,285,,,11033256,11860541,11927552,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989049.309487,4.679,0.2854,25643263.390069358,435048,131000,0,,395580,285,,,11947948,12778009,12845056,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989049.577357,4.9468,0.2679,26946274.339168586,436436,132000,2000,,395580,285,,,12850148,13681597,13762560,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989049.803583,5.173,0.2262,27539093.036788214,437824,132000,2000,,395580,285,,,13628816,14461653,14548992,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989050.0153,5.3848,0.2117,29837932.63092512,439212,133000,1000,,395580,285,,,14418588,15252813,15335424,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989050.259605,5.6291,0.2443,21589292.506764647,440600,143000,8000,,395580,285,,,15077888,15913501,15990784,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989050.464122,5.8336,0.2045,19604713.936192036,440600,148000,10000,,395580,285,,,15578956,16414569,16515072,363656,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989050.8254201,6.1949,0.3613,22373096.36688064,315076,132000,3000,,398356,287,,,16589420,17301697,16908288,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989051.075718,6.4452,0.2503,17306653.695153404,323404,131000,1000,,398356,287,,,17130936,17852733,17825792,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989051.34032,6.7098,0.2646,20061101.840715535,331732,133000,4000,,398356,287,,,17794400,18524525,18481152,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989051.599732,6.9692,0.2594,19989927.72511902,338672,131000,2000,,398356,287,,,18442596,19179661,19136512,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989051.861993,7.2315,0.2623,19643400.323545728,345612,133000,3000,,398356,287,,,19086628,19830633,19791872,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989052.078732,7.4481,0.2167,23984483.101152904,351164,132000,3000,,398356,287,,,19736212,20485769,20447232,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989052.293536,7.6629,0.2148,23836560.22951845,355328,132000,0,,398356,287,,,20376080,21129801,21102592,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989052.529651,7.8991,0.2362,17910328.186295625,359492,130000,1000,,398356,287,,,20904908,21662793,21626880,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989052.7761831,8.1456,0.2465,21219244.05094397,362268,131000,1000,,398356,287,,,21558656,22319317,22282240,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989053.0334249,8.4029,0.2573,22095855.590651125,365044,131000,1000,,398356,287,,,22269312,23032749,23068672,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989053.234138,8.6036,0.2007,26168047.073323395,367820,130000,1000,,398356,287,,,22925836,23692049,23724032,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989053.445172,8.8146,0.211,19997030.149529,369208,131000,1000,,398356,287,,,23453276,24220877,24248320,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989053.684075,9.0535,0.2389,22168303.124458864,370596,129000,1000,,398356,287,,,24115352,24884341,24903680,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989053.95837,9.3277,0.2742,22878290.00203295,371984,130000,0,,398356,287,,,24899572,25669949,25690112,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989054.229915,9.5993,0.2715,23146237.050221346,373372,131000,1000,,398356,287,,,25685180,26456945,26476544,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989054.4595451,9.8289,0.2296,22633026.186635327,374760,130000,1000,,398356,287,,,26334764,27107917,27131904,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989054.663949,10.0333,0.2045,25959934.735699963,374760,130000,1000,,398356,287,,,26998228,27771381,27787264,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989054.869189,10.2386,0.2053,20232721.87929155,374760,131000,1000,,398356,287,,,27517340,28290493,28311552,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989055.140793,10.5102,0.2716,23183381.87506176,374760,131000,1000,,398356,287,,,28304336,29077489,29097984,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989055.374476,10.7439,0.2337,22328243.86085539,374760,132000,3000,,398356,287,,,28956696,29729849,29753344,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989055.57988,10.9493,0.2054,25516530.91838664,374760,129000,1000,,398356,287,,,29611832,30384985,30408704,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989055.789742,11.1592,0.2099,19947855.8696282,374760,135000,3000,,398356,287,,,30135108,30908261,30932992,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989056.058594,11.428,0.2688,23543330.181110576,374760,131000,1000,,398356,287,,,30926268,31699421,31719424,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989056.2831402,11.6526,0.2246,23240905.86401627,374760,131000,1000,,398356,287,,,31578628,32351781,32374784,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989056.495502,11.8649,0.2124,24889215.998694226,376148,129000,1000,,398356,287,,,32239316,33013857,33030144,308136,1388,
"speedtest.lu.buyvm.net:5201 (Bissen, LU)",1771989056.709648,12.079,0.2141,19705136.527177785,376148,131000,2000,,398356,287,,,32766756,33541297,33554432,308136,1388,
